ok,tag,x_name,x_value,seed,n_users,theta_3db_deg,W_slots,beam.theta_3db_deg,payload.W_slots,payload_feasible,K,U_mean,U_max,ent_edge_pct,best_m,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=4",1,1000,0.9,4,0.9,4,1,404.0,0.11648213927410951,2.8289746431459863,11.650485436893204,6.0,6.0,0.0,0.0,0.0,0.0,44.15678730001673
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=4",1,2000,0.9,4,0.9,4,1,632.0,0.1488570452250898,1.4553310110280666,13.478260869565217,8.0,8.0,0.0,0.0,0.0,0.0,77.59793939998781
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=4",1,3000,0.9,4,0.9,4,1,899.0,0.15982889056800514,1.2797786905156492,11.290322580645162,13.0,13.0,0.0,0.0,0.0,0.0,122.96106759995746
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=6",1,1000,0.9,6,0.9,6,1,404.0,0.11648213927410951,2.8289746431459863,11.650485436893204,6.0,6.0,0.0,0.0,0.0,0.0,43.00308979998226
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=6",1,2000,0.9,6,0.9,6,1,628.0,0.1515092078669598,1.12158696673343,12.608695652173912,8.0,8.0,0.0,0.0,0.0,0.0,132.29983670001093
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=6",1,3000,0.9,6,0.9,6,1,899.0,0.15982889056800514,1.2797786905156492,11.290322580645162,13.0,13.0,0.0,0.0,0.0,0.0,265.2994977000053
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=8",1,1000,0.9,8,0.9,8,1,404.0,0.11648213927410951,2.8289746431459863,11.650485436893204,6.0,6.0,0.0,0.0,0.0,0.0,43.00931979998131
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=8",1,2000,0.9,8,0.9,8,1,628.0,0.1515092078669598,1.12158696673343,12.608695652173912,8.0,8.0,0.0,0.0,0.0,0.0,171.79946799999743
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=0.9,W=8",1,3000,0.9,8,0.9,8,1,899.0,0.15982889056800514,1.2797786905156492,11.290322580645162,13.0,13.0,0.0,0.0,0.0,0.0,292.8285685999581
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=4",1,1000,1.0,4,1.0,4,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,27.466535699990345
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=4",1,2000,1.0,4,1.0,4,1,592.0,0.1575390593609792,1.5622273119724126,10.434782608695652,8.0,8.0,0.0,0.0,0.0,0.0,48.260822299998836
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=4",1,3000,1.0,4,1.0,4,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,97.54045800000313
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=6",1,1000,1.0,6,1.0,6,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,30.05445700000564
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=6",1,2000,1.0,6,1.0,6,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,80.77237869998498
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=6",1,3000,1.0,6,1.0,6,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,159.8457272000087
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=8",1,1000,1.0,8,1.0,8,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,27.815350800010492
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=8",1,2000,1.0,8,1.0,8,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,91.16772289999062
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.0,W=8",1,3000,1.0,8,1.0,8,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,213.4090083000192
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=4",1,1000,1.1,4,1.1,4,1,354.0,0.131811108090442,2.296656285914715,8.737864077669903,6.0,6.0,0.0,0.0,0.0,0.0,28.974245900011738
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=4",1,2000,1.1,4,1.1,4,1,557.0,0.16861558347134936,1.3476960760105903,6.521739130434782,8.0,8.0,0.0,0.0,0.0,0.0,63.674484899966046
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=4",1,3000,1.1,4,1.1,4,1,745.0,0.1894842427847548,1.938196188858847,6.451612903225806,12.0,12.0,0.0,0.0,0.0,0.0,80.09711619999143
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=6",1,1000,1.1,6,1.1,6,1,354.0,0.131811108090442,2.296656285914715,8.737864077669903,6.0,6.0,0.0,0.0,0.0,0.0,28.868115999997826
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=6",1,2000,1.1,6,1.1,6,1,550.0,0.17386868828112714,1.523989091085753,7.391304347826087,8.0,8.0,0.0,0.0,0.0,0.0,80.38619389999076
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=6",1,3000,1.1,6,1.1,6,1,745.0,0.1894842427847548,1.938196188858847,6.451612903225806,12.0,12.0,0.0,0.0,0.0,0.0,154.09622459995444
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=8",1,1000,1.1,8,1.1,8,1,354.0,0.131811108090442,2.296656285914715,8.737864077669903,6.0,6.0,0.0,0.0,0.0,0.0,27.39937469997676
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=8",1,2000,1.1,8,1.1,8,1,550.0,0.17386868828112714,1.523989091085753,7.391304347826087,8.0,8.0,0.0,0.0,0.0,0.0,85.43240109996987
1,interaction:theta_x_Wslots,theta_x_Wslots,"theta=1.1,W=8",1,3000,1.1,8,1.1,8,1,745.0,0.1894842427847548,1.938196188858847,6.451612903225806,12.0,12.0,0.0,0.0,0.0,0.0,149.81494009998278
